"","razao_social","nome_fantasia","situacao_cadastral","descricao_tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","codigo_municipio","municipio","codigo_natureza_juridica","cnpj","tipo","endereco","localizacao","lat","lon"
"1","NOVA CASA BAHIA S/A","","08","AVENIDA","CONDE FRANCISCO MATARAZZO","100","","CENTRO","09520900","SP","7077","SAO CAETANO DO SUL","2054","10757237000175","CASA BAHIA","AVENIDA CONDE FRANCISCO MATARAZZO","SP, SAO CAETANO DO SUL, CENTRO, AVENIDA CONDE FRANCISCO MATARAZZO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"2","NOVA CASA BAHIA S/A","","08","LARGO","DO CAMBUCI","97","","CAMBUCI","01523010","SP","7107","SAO PAULO","2054","10757237000256","CASA BAHIA","LARGO DO CAMBUCI","SP, SAO PAULO, CAMBUCI, LARGO DO CAMBUCI, NOVA CASA BAHIA S/A",-23.5626694,-46.6207722
"3","NOVA CASA BAHIA S/A","","08","RUA","MARECHAL DEODORO","987","1001 E 1005               RUA STA FILOMENA          416,426 E 458","CENTRO","09710011","SP","7075","SAO BERNARDO DO CAMPO","2054","10757237000337","CASA BAHIA","RUA MARECHAL DEODORO","SP, SAO BERNARDO DO CAMPO, CENTRO, RUA MARECHAL DEODORO, NOVA CASA BAHIA S/A",-23.70688,-46.551053
"4","NOVA CASA BAHIA S/A","","08","RUA","MARECHAL DEODORO","1381","E 1387","CENTRO","09710012","SP","7075","SAO BERNARDO DO CAMPO","2054","10757237000418","CASA BAHIA","RUA MARECHAL DEODORO","SP, SAO BERNARDO DO CAMPO, CENTRO, RUA MARECHAL DEODORO, NOVA CASA BAHIA S/A",-23.70688,-46.551053
"5","NOVA CASA BAHIA S/A","","08","AVENIDA","TABOAO","3990","","VILA LUZIA","09657000","SP","7075","SAO BERNARDO DO CAMPO","2054","10757237000507","CASA BAHIA","AVENIDA TABOAO","SP, SAO BERNARDO DO CAMPO, VILA LUZIA, AVENIDA TABOAO, NOVA CASA BAHIA S/A",-23.664154,-46.607631
"6","NOVA CASA BAHIA S/A","","08","RUA","PERRELLA","342","346,354,358 E 410","FUNDACAO","09520650","SP","7077","SAO CAETANO DO SUL","2054","10757237000680","CASA BAHIA","RUA PERRELLA","SP, SAO CAETANO DO SUL, FUNDACAO, RUA PERRELLA, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"7","NOVA CASA BAHIA S/A","","08","AVENIDA","CONDE FRANCISCO MATARAZZO","290","298,300,308 E 316         ESQ. R PERRELLA,S/N       E NS 487 E 503","FUNDACAO","09520110","SP","7077","SAO CAETANO DO SUL","2054","10757237000760","CASA BAHIA","AVENIDA CONDE FRANCISCO MATARAZZO","SP, SAO CAETANO DO SUL, FUNDACAO, AVENIDA CONDE FRANCISCO MATARAZZO, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"8","NOVA CASA BAHIA S/A","","08","RUA","PERRELLA","383","","FUNDACAO","09520660","SP","7077","SAO CAETANO DO SUL","2054","10757237000841","CASA BAHIA","RUA PERRELLA","SP, SAO CAETANO DO SUL, FUNDACAO, RUA PERRELLA, NOVA CASA BAHIA S/A",-23.6091335,-46.5712175
"9","NOVA CASA BAHIA S/A","","08","RUA","JOAO PESSOA","98","108,112,114,116,120,      126,130 E 134             R RIO GRANDE DO SUL,      N 20 E 44","CENTRO","09520000","SP","7077","SAO CAETANO DO SUL","2054","10757237000922","CASA BAHIA","RUA JOAO PESSOA","SP, SAO CAETANO DO SUL, CENTRO, RUA JOAO PESSOA, NOVA CASA BAHIA S/A",-23.6119578,-46.5704934
"10","NOVA CASA BAHIA S/A","","08","AVENIDA","DOUTOR JOSE FORNARI","715","","FERRAZOPOLIS","09790400","SP","7075","SAO BERNARDO DO CAMPO","2054","10757237001732","CASA BAHIA","AVENIDA DOUTOR JOSE FORNARI","SP, SAO BERNARDO DO CAMPO, FERRAZOPOLIS, AVENIDA DOUTOR JOSE FORNARI, NOVA CASA BAHIA S/A",-23.7300247,-46.5453712
